channel,mean_ours,mean_horizon,std_ours,std_horizon,p50_ours,p50_horizon,p99_ours,p99_horizon,hist_corr
DAPI,66.6190,66.7969,186.7701,187.2506,28,28,913,915,0.999966
CSL3_CD68,6.7654,6.8439,14.4614,14.6330,2,2,64,65,0.999698
CSL_CD204,36.0770,36.1895,57.9541,58.1472,38,37,210,212,0.999987
CSL_CD15,12.4860,12.5755,31.2891,31.4654,1,1,142,142,0.999781
CSL_CD3,9.7969,9.8798,20.9389,21.2000,4,3,72,73,0.999821
CSL_CD45,16.1997,16.2970,40.5809,40.7750,1,1,182,183,0.999742
CSL_CD31,8.7479,8.8284,16.1484,16.3570,3,2,67,68,0.999742
CSL_iNOS,18.6210,18.7215,46.7493,46.9519,1,1,211,211,0.999820
CSL_CD69,37.3466,37.4758,66.1979,66.5786,17,17,285,287,0.999993
CSL_MMP9,25.4605,25.5750,57.3397,57.5571,5,5,263,263,0.999980
CSL_Nelastase,40.4539,40.5829,118.3648,118.9092,29,29,290,291,0.999996
CSL_CD163,22.2841,22.3927,56.5191,56.7428,1,1,254,255,0.999847
CSL_LXRa,39.4156,39.5393,109.7303,110.0540,22,21,368,369,0.999995
CSL2_CD11b,23.6583,23.7699,61.2720,61.5008,1,1,278,279,0.999771
CSL3_SREBP1,15.2787,15.3703,34.0606,34.2588,4,4,139,140,0.999796
CSL_ASGR1,44.3114,44.4331,53.1680,53.4041,47,46,208,209,0.999998
CSL_panCK,25.4836,25.5986,65.4619,65.7118,1,1,294,294,0.999827
CSL_uPAR,34.7843,34.8968,43.8114,44.0187,35,34,180,181,0.999994
CSL_COL3,28.3522,28.4722,69.0416,69.2991,2,1,309,309,0.999807
CSL_VECadherin,17.8902,17.9862,41.5690,41.8824,6,5,158,158,0.999840
CSL_FN1,36.1182,36.2549,80.5120,80.7808,4,4,361,362,0.999936
CSL_CD90,38.0321,38.1564,51.6452,51.8259,30,29,211,211,0.999950
CSL_aSMA,34.4151,34.5466,86.3723,86.6818,2,1,409,410,0.999838
CSL_HistoneH3,22.2466,22.3504,69.9093,70.3243,6,6,204,205,0.999874
CSL_SM_MHC,30.6842,30.8088,76.8878,77.1588,1,1,347,348,0.999817
CSL_MPO,19.9379,20.0372,38.4525,38.6361,7,6,175,176,0.999856
CSL_TREM2,84.7704,84.9675,148.3065,148.6497,60,60,662,663,0.999999
CSL_S100A9,41.9061,42.0477,117.7276,118.1971,7,7,573,574,0.999967
CSL_COL1,23.3070,23.4099,43.1039,43.3721,9,8,187,188,0.999954
CSL_Adiponectin,31.3099,31.4295,97.8195,98.3869,10,9,325,325,0.999934
CSL_CD11c,32.1324,32.2549,80.1937,80.4269,6,5,381,382,0.999905
CSL_FAP,31.7389,31.8597,67.6595,67.9537,7,7,309,310,0.999924
CSL3_GPA,44.2027,44.3442,81.2018,81.4207,25,24,279,280,0.999976
CSL_Urokinase_AF647,32.7915,32.9103,59.8823,60.0543,18,18,248,249,0.999971
